team_id,team_name,founded_year,stadium_name,city,season,table_position,points,games_played,wins,draws,losses,goals_for,goals_against,ingested_at
Unknown,Arsenal,,Unknown,Unknown,2024,1,85,38,26,7,5,71,27,2026-06-13 12:17:00
80,Manchester City,1880,Etihad Stadium,Manchester,2024,2,78,38,23,9,6,77,35,2026-06-13 12:17:00
102,Manchester United,1878,Old Trafford,Manchester,2024,3,71,38,20,11,7,69,50,2026-06-13 12:17:00
3088,Aston Villa,1874,Villa Park,Birmingham,2024,4,65,38,19,8,11,56,49,2026-06-13 12:17:00
84,Liverpool,1892,Anfield,Liverpool,2024,5,60,38,17,9,12,63,53,2026-06-13 12:17:00
3071,Bournemouth,1899,Vitality Stadium,"Bournemouth, Dorset",2024,6,57,38,13,18,7,58,54,2026-06-13 12:17:00
3111,Sunderland,1879,Stadium of Light,Sunderland,2024,7,54,38,14,12,12,42,48,2026-06-13 12:17:00
3079,Brighton,1901,The American Express Community Stadium,"Falmer, East Sussex",2024,8,53,38,14,11,13,52,46,2026-06-13 12:17:00
3086,Brentford,1889,Brentford Community Stadium,"Brentford, Middlesex",2024,9,53,38,14,11,13,55,52,2026-06-13 12:17:00
88,Chelsea,1905,Stamford Bridge,London,2024,10,52,38,14,10,14,58,52,2026-06-13 12:17:00
3085,Fulham,1879,Craven Cottage,London,2024,11,52,38,15,7,16,47,51,2026-06-13 12:17:00
3100,Newcastle United,1892,St. James' Park,Newcastle upon Tyne,2024,12,49,38,14,7,17,53,55,2026-06-13 12:17:00
3073,Everton,1878,Goodison Park,Liverpool,2024,13,49,38,13,10,15,47,50,2026-06-13 12:17:00
Unknown,Leeds,,Unknown,Unknown,2024,14,47,38,11,14,13,49,56,2026-06-13 12:17:00
3429,Crystal Palace,1861,Selhurst Park,London,2024,15,45,38,11,12,15,41,51,2026-06-13 12:17:00
Unknown,Nottingham,,Unknown,Unknown,2024,16,44,38,11,11,16,48,51,2026-06-13 12:17:00
164,Tottenham Hotspur,1882,Tottenham Hotspur Stadium,London,2024,17,41,38,10,11,17,48,57,2026-06-13 12:17:00
3081,West Ham United,1895,London Stadium,London,2024,18,39,38,10,9,19,46,65,2026-06-13 12:17:00
3075,Burnley,1882,Turf Moor,Burnley,2024,19,22,38,4,10,24,38,75,2026-06-13 12:17:00
3077,Wolves,1877,Molineux Stadium,"Wolverhampton, West Midlands",2024,20,20,38,3,11,24,27,68,2026-06-13 12:17:00
